run_id,likelihood,seed,temperature,label_noise,_step,_runtime,_timestamp,csgld/test/acc,csgld/test/bma_ce_nll,csgld/test/total_loss,csgld/train/mini_loss,_wandb,csgld/train/epoch,csgld/test/bma_acc,csgld/test/bma_nll,csgld/train/mini_idx,noise
d42uybjq,softmax,-2,0.0001,0.2,1000,20923,1643781388,0.8048,8632.2685546875,8877.1416015625,4518.33203125,{'runtime': 20924},999,0.8278,0.0,350,
3wzer6rt,softmax,-2,0.01,0.2,1000,20893,1643781321,0.7964,7976.10107421875,8103.01220703125,9664.2392578125,{'runtime': 20895},999,0.8357,0.0,350,
x5l21yu3,softmax,-2,0.001,0.2,1000,20921,1643781349,0.8054,8022.56103515625,8388.24609375,2588.262451171875,{'runtime': 20923},999,0.8357,0.0,350,
3oox7tlw,softmax,-2,0.1,0.2,1000,20776,1643781075,0.8664,5305.70166015625,5268.392578125,53756.515625,{'runtime': 20777},999,0.8915,0.0,350,
8fmkcthy,softmax,-2,1.0,0.2,1000,20715,1643780956,0.7775,7743.0009765625,7659.21533203125,65688.546875,{'runtime': 20717},999,0.8073,0.0,350,
f4lemfj4,softmax,-1,10.0,0.2,1000,21041,1643781255,0.4601,15146.3046875,15035.9765625,95763.3984375,{'runtime': 21042},999,0.5559,0.0,350,
hpvv81dq,softmax,-1,3.0,0.2,1000,20819,1643781004,0.6584,10466.9990234375,10379.734375,78641.75,{'runtime': 20820},999,0.7154,0.0,350,
st6sfj52,softmax,-1,1e-05,0.2,1000,20900,1643781019,0.809,8327.6865234375,8584.4033203125,3338.097900390625,{'runtime': 20902},999,0.8357,0.0,350,
5p1my6sc,softmax,-1,0.0001,0.2,1000,20743,1643780810,0.8073,8371.021484375,8431.2060546875,2007.97314453125,{'runtime': 20745},999,0.8329,0.0,350,
ipib9qxa,softmax,-1,0.001,0.2,1000,21071,1643781138,0.7998,8556.12890625,8737.966796875,3065.56591796875,{'runtime': 21073},999,0.8245,0.0,350,
labf1hjh,softmax,-1,0.01,0.2,1000,20891,1643780856,0.7992,7985.333984375,8144.28759765625,9661.3173828125,{'runtime': 20893},999,0.8349,0.0,350,
hs3qfds3,softmax,-1,0.1,0.2,1000,20887,1643780830,0.8568,5498.53369140625,5542.52294921875,47604.90234375,{'runtime': 20889},999,0.8817,0.0,350,
v8dkykrk,softmax,-1,1.0,0.2,1000,21009,1643780952,0.7582,7786.36865234375,7869.69091796875,64986.9453125,{'runtime': 21011},999,0.8075,0.0,350,
o0ma5ln8,softmax,-3,10.0,0.1,1000,21074,1643781016,0.5176,13611.1806640625,13569.103515625,72729.859375,{'runtime': 21076},999,0.6011,0.0,350,
q6goinq5,softmax,-3,3.0,0.1,1000,20875,1643780755,0.6837,9128.9375,9054.353515625,68293.3203125,{'runtime': 20876},999,0.7434,0.0,350,
tuip8o4s,softmax,-3,0.0001,0.1,1000,20945,1643780765,0.8684,5857.25634765625,6077.00634765625,2860.957275390625,{'runtime': 20946},999,0.8839,0.0,350,
