augment,batch_size,burn_in,dir_noise,dirty_lik,label_noise,likelihood,lr,noise,prior_scale,seed,sgld_lr,temperature,run_id,train/acc,train/nll,train/ce_nll,train/ece,test/acc,test/nll,test/ce_nll,test/ece,likelihood_T
True,128,0,0.1,True,0.5,dirichlet,1e-07,0.1,1,-2,1e-07,1,6ah50zsz,0.76838,0.0,62641.625,0.4082547564134002,0.7507,0.0,12782.2158203125,0.393210571462661,1.0
True,128,0,0.01,True,0.5,dirichlet,1e-07,0.01,1,-3,1e-07,1,1nhwnbsc,0.85254,0.0,31027.33984375,0.1446610915535688,0.8197,0.0,7113.23095703125,0.1256266457363963,1.0
True,128,0,0.5,True,0.8,dirichlet,1e-07,0.5,1,-2,1e-07,1,dgf7mdhk,0.37992,0.0,112394.9765625,0.2704746325653791,0.3861,0.0,22470.888671875,0.2765947558194399,1.0
True,128,0,1e-05,True,0.5,dirichlet,1e-07,1e-05,1,-3,1e-07,1,oansajlc,0.78004,0.0,64404.1875,0.0235466405293345,0.7466,0.0,15926.91796875,0.040878688339889,1.0
True,128,0,0.01,True,0.5,dirichlet,1e-07,0.01,1,-2,1e-07,1,80uutkft,0.85276,0.0,31219.2890625,0.1483379047182202,0.815,0.0,7219.46484375,0.125134201028943,1.0
True,128,0,0.5,True,0.8,dirichlet,1e-07,0.5,1,-3,1e-07,1,698bfr4m,0.3953,0.0,112311.4140625,0.2856047939021885,0.4015,0.0,22453.923828125,0.2917673507727682,1.0
True,128,0,0.0001,True,0.1,dirichlet,1e-07,0.0001,1,-2,1e-07,1,ellmxys2,0.96712,0.0,11126.7158203125,0.0037442381632327,0.8981,0.0,7190.8125,0.0345047863572836,1.0
True,128,0,0.01,True,0.2,dirichlet,1e-07,0.01,1,-2,1e-07,1,rcuzdqww,0.94056,0.0,13428.32421875,0.0575053989064692,0.8874,0.0,4456.9482421875,0.0263073277398944,1.0
True,128,0,0.5,True,0.0,dirichlet,1e-07,0.5,1,-3,1e-07,1,tzmgd1dq,0.77994,0.0,77423.4609375,0.536982778903395,0.7606,0.0,15650.7470703125,0.5187734050616621,1.0
True,128,0,0.01,True,0.2,dirichlet,1e-07,0.01,1,-3,1e-07,1,zsf4jxpo,0.94156,0.0,13255.384765625,0.0570990623259544,0.8854,0.0,4436.43310546875,0.0265775354921817,1.0
True,128,0,0.0001,True,0.5,dirichlet,1e-07,0.0001,1,-2,1e-07,1,f8le8rvx,0.81274,0.0,48870.9375,0.0190034209027886,0.7642,0.0,12607.1318359375,0.0254116394683718,1.0
True,128,0,1e-05,True,0.0,dirichlet,1e-07,1e-05,1,-3,1e-07,1,xcmipuk1,0.99942,0.0,942.5255126953124,0.0053462475657463,0.9257,0.0,6760.31103515625,0.0347543737500906,1.0
True,128,0,0.1,True,0.0,dirichlet,1e-07,0.1,1,-2,1e-07,1,42e8rwnm,0.91372,0.0,28997.40625,0.2703497700896859,0.8712,0.0,6631.5380859375,0.2397568215563893,1.0
True,128,0,1e-05,True,0.1,dirichlet,1e-07,1e-05,1,-2,1e-07,1,qhrs55x1,0.95828,0.0,16309.42578125,0.0116712424856424,0.8895,0.0,9495.36328125,0.0398823806524276,1.0
True,128,0,0.001,True,0.0,dirichlet,1e-07,0.001,1,-2,1e-07,1,s310zfto,0.99502,0.0,2316.8046875,0.0130258457368612,0.9237,0.0,4390.70263671875,0.0266435530096292,1.0
True,128,0,0.001,True,0.1,dirichlet,1e-07,0.001,1,-2,1e-07,1,eekijtqy,0.97286,0.0,7723.02490234375,0.0123103006237745,0.9002,0.0,5360.91748046875,0.0277863627061248,1.0
True,128,0,0.1,True,0.2,dirichlet,1e-07,0.1,1,-3,1e-07,1,ezde56hf,0.87614,0.0,39139.4921875,0.3310511232575774,0.8423,0.0,8443.45703125,0.304959949684143,1.0
True,128,0,0.1,True,0.2,dirichlet,1e-07,0.1,1,-2,1e-07,1,8lq2g4qq,0.87612,0.0,39285.1484375,0.3329259504818915,0.8406,0.0,8470.11328125,0.3069675039798021,1.0
True,128,0,0.001,True,0.8,dirichlet,1e-07,0.001,1,-3,1e-07,1,mnrbkjdm,0.5535,0.0,79107.265625,0.0676226252779364,0.5349,0.0,16407.849609375,0.055182906217873,1.0
True,128,0,0.01,True,0.0,dirichlet,1e-07,0.01,1,-3,1e-07,1,t44c30p4,0.97984,0.0,5868.2548828125,0.0355639485448599,0.9101,0.0,3697.131591796875,0.0169217344462871,1.0
True,128,0,1e-05,True,0.8,dirichlet,1e-07,1e-05,1,-2,1e-07,1,ojs84mda,0.4302,0.0,148768.671875,0.1649597106799483,0.4181,0.0,30658.046875,0.1666459362939,1.0
True,128,0,0.1,True,0.1,dirichlet,1e-07,0.1,1,-3,1e-07,1,aj07xkji,0.89762,0.0,33692.80078125,0.302089251089096,0.8607,0.0,7464.107421875,0.2755635468766093,1.0
True,128,0,0.5,True,0.5,dirichlet,1e-07,0.5,1,-2,1e-07,1,ot6x430h,0.58634,0.0,100413.734375,0.4383450727635621,0.5843,0.0,20099.43359375,0.4363146407708526,1.0
True,128,0,0.0001,True,0.8,dirichlet,1e-07,0.0001,1,-2,1e-07,1,x595otj5,0.50196,0.0,101603.9765625,0.0599774851307272,0.4757,0.0,21702.689453125,0.0799930006101727,1.0
True,128,0,0.001,True,0.8,dirichlet,1e-07,0.001,1,-2,1e-07,1,1vjitvvg,0.5588,0.0,78458.9296875,0.0718420855268836,0.537,0.0,16279.265625,0.0553105301246047,1.0
True,128,0,0.5,True,0.1,dirichlet,1e-07,0.5,1,-3,1e-07,1,qxf19ox9,0.74924,0.0,81681.828125,0.5259089001233876,0.7312,0.0,16499.458984375,0.5089380581736564,1.0
True,128,0,0.0001,True,0.1,dirichlet,1e-07,0.0001,1,-3,1e-07,1,qxptz0j5,0.96568,0.0,11480.783203125,0.0040684267592429,0.896,0.0,7076.26123046875,0.0332979709252714,1.0
True,128,0,0.001,True,0.0,dirichlet,1e-07,0.001,1,-3,1e-07,1,t0aw595a,0.99488,0.0,2268.921630859375,0.0126350292479992,0.9194,0.0,4461.0009765625,0.0311500502839684,1.0
True,128,0,0.0001,True,0.5,dirichlet,1e-07,0.0001,1,-3,1e-07,1,bxq1atdm,0.8147,0.0,47762.7890625,0.0168105790376663,0.7586,0.0,12790.4443359375,0.0291651089191436,1.0
True,128,0,0.5,True,0.0,dirichlet,1e-07,0.5,1,-2,1e-07,1,l8nhkcx0,0.78898,0.0,76896.140625,0.544491662209332,0.7708,0.0,15547.4951171875,0.5275725586183369,1.0
True,128,0,0.001,True,0.1,dirichlet,1e-07,0.001,1,-3,1e-07,1,buv0zq03,0.97312,0.0,7706.166015625,0.0135724376118183,0.8988,0.0,5220.4326171875,0.0294751056179404,1.0
True,128,0,1e-05,True,0.2,dirichlet,1e-07,1e-05,1,-3,1e-07,1,fzrdvroz,0.91508,0.0,30482.064453125,0.0214537213945389,0.8624,0.0,11174.0673828125,0.036942405205965,1.0
True,128,0,0.0001,True,0.0,dirichlet,1e-07,0.0001,1,-3,1e-07,1,dglrbik1,0.99904,0.0,1159.2667236328125,0.0073382263284922,0.9299,0.0,5375.7646484375,0.0295923644423484,1.0
True,128,0,1e-05,True,0.0,dirichlet,1e-07,1e-05,1,-2,1e-07,1,6bqqz8il,0.99954,0.0,935.3418579101562,0.0056110477006435,0.929,0.0,6589.44970703125,0.0326476700931787,1.0
True,128,0,1e-05,True,0.8,dirichlet,1e-07,1e-05,1,-3,1e-07,1,ebfnswtq,0.4474,0.0,136246.984375,0.1468966159543395,0.4328,0.0,28298.939453125,0.1516128398418426,1.0
True,128,0,0.5,True,0.1,dirichlet,1e-07,0.5,1,-2,1e-07,1,n5w3pgil,0.75186,0.0,81550.7578125,0.5280897016529739,0.7359,0.0,16446.48046875,0.5125826959528029,1.0
True,128,0,0.0001,True,0.8,dirichlet,1e-07,0.0001,1,-3,1e-07,1,26kfg5un,0.53276,0.0,94113.5390625,0.0415851390752196,0.5111,0.0,20139.2578125,0.0524608463868498,1.0
True,128,0,1e-05,True,0.5,dirichlet,1e-07,1e-05,1,-2,1e-07,1,ndv7oon6,0.7877,0.0,62722.20703125,0.0196234640815854,0.747,0.0,16101.27734375,0.043786013251543,1.0
True,128,0,0.001,True,0.5,dirichlet,1e-07,0.001,1,-2,1e-07,1,dxiimn2z,0.84428,0.0,33517.32421875,0.0503571979519725,0.7945,0.0,8860.25390625,0.0194645742818713,1.0
True,128,0,0.01,True,0.1,dirichlet,1e-07,0.01,1,-3,1e-07,1,ykqb3y2x,0.96232,0.0,9283.5986328125,0.0433942636016011,0.8981,0.0,4052.905029296875,0.017580260771513,1.0
True,128,0,0.001,True,0.5,dirichlet,1e-07,0.001,1,-3,1e-07,1,1e2590i9,0.84052,0.0,34597.83984375,0.0510487452024221,0.7969,0.0,8797.533203125,0.0271525644212961,1.0
True,128,0,0.0001,True,0.2,dirichlet,1e-07,0.0001,1,-3,1e-07,1,xevcu3on,0.93198,0.0,20533.28515625,0.0070311179718375,0.8685,0.0,8459.20703125,0.0342727346181868,1.0
True,128,0,1e-05,True,0.2,dirichlet,1e-07,1e-05,1,-2,1e-07,1,xstrlkhx,0.91214,0.0,31790.44921875,0.0229273156970739,0.8616,0.0,11179.3173828125,0.0401845280975103,1.0
True,128,0,0.001,True,0.2,dirichlet,1e-07,0.001,1,-2,1e-07,1,eilv9q96,0.94844,0.0,13061.02734375,0.0152152934896946,0.876,0.0,6074.54541015625,0.0271065826982259,1.0
True,128,0,1e-05,True,0.1,dirichlet,1e-07,1e-05,1,-3,1e-07,1,rj8s6fw0,0.95874,0.0,16506.619140625,0.0122347078019381,0.8934,0.0,9163.53125,0.0384604325830936,1.0
True,128,0,0.01,True,0.8,dirichlet,1e-07,0.01,1,-3,1e-07,1,47wx2266,0.62182,0.0,74160.3671875,0.2816922426088153,0.6032,0.0,15073.388671875,0.2650109957888723,1.0
True,128,0,0.5,True,0.2,dirichlet,1e-07,0.5,1,-3,1e-07,1,0v71mda1,0.7209,0.0,85831.421875,0.5159649235166609,0.7048,0.0,17264.6875,0.5002313987433911,1.0
True,128,0,0.1,True,0.8,dirichlet,1e-07,0.1,1,-2,1e-07,1,fu1ws5q8,0.53164,0.0,98699.1171875,0.3701728169125319,0.53,0.0,19750.24609375,0.36838016359061,1.0
True,128,0,0.1,True,0.8,dirichlet,1e-07,0.1,1,-3,1e-07,1,xwqqq0oc,0.53692,0.0,98645.53125,0.3754626515448094,0.5364,0.0,19733.439453125,0.3745163309246301,1.0
True,128,0,0.5,True,0.5,dirichlet,1e-07,0.5,1,-3,1e-07,1,vfmhyvd3,0.60884,0.0,99345.6015625,0.4574731549760699,0.5988,0.0,19890.73046875,0.4473184170037508,1.0
True,128,0,0.01,True,0.1,dirichlet,1e-07,0.01,1,-2,1e-07,1,0byt0231,0.96074,0.0,9457.083984375,0.0435545282652973,0.8981,0.0,4047.581787109375,0.0130928667485714,1.0
True,128,0,0.01,True,0.0,dirichlet,1e-07,0.01,1,-2,1e-07,1,tc9hidcr,0.9783,0.0,6082.7216796875,0.0356422412830591,0.9119,0.0,3653.68359375,0.0163840118795633,1.0
True,128,0,0.5,True,0.2,dirichlet,1e-07,0.5,1,-2,1e-07,1,w9009vwd,0.72738,0.0,85131.875,0.5196805028061569,0.7121,0.0,17151.287109375,0.5050298784859479,1.0
True,128,0,0.01,True,0.8,dirichlet,1e-07,0.01,1,-2,1e-07,1,enl8nm2c,0.6238,0.0,73197.65625,0.2755677743475139,0.609,0.0,14933.984375,0.2618479601427912,1.0
