augment,batch_size,burn_in,dir_noise,dirty_lik,label_noise,likelihood,likelihood_T,lr,prior_scale,seed,sgld_lr,temperature,run_id,train/acc,train/nll,train/ce_nll,train/ece,test/acc,test/nll,test/ce_nll,test/ece
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,-1,1e-06,1.0,78ja6r65,0.4897,0.0,100058.140625,0.3314642074130475,0.4934,0.0,19985.546875,0.3348885016486048
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,-1,1e-06,1.0,s3hynt5d,0.7493,0.0,60639.89453125,0.3562297601555287,0.7295,0.0,12413.9072265625,0.3388981210179627
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,-1,1e-06,1e-05,m50cf8v0,0.27874,0.0,631287.75,0.6490632238394022,0.2644,0.0,68120.4921875,0.3737171627387404
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,-1,1e-06,1.0,c7dmn6jb,0.88644,0.0,25331.904296875,0.1364479155564308,0.8551,0.0,5830.15234375,0.1147710220962763
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,-1,1e-06,0.01,3vrdivg3,0.81912,0.0,102190.1171875,0.1535332620072364,0.8435,0.0,12079.5986328125,0.0209469007506966
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,-1,1e-06,0.1,yeyoxk49,0.8219,0.0,54076.48046875,0.1192860646885633,0.825,0.0,12505.6220703125,0.0389450178131461
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,-1,1e-06,1e-05,tqk9z8u6,1.0,0.0,144.17581176757812,0.0017753453600407,0.9346,0.0,4591.2109375,0.0364967012554407
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,-1,1e-06,0.01,g5d45ezd,1.0,0.0,191.4744415283203,0.0025023171997069,0.9341,0.0,4599.85009765625,0.0267867615193128
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,-1,1e-06,1e-05,ms2wmxad,0.55134,0.0,341602.15625,0.4011685737740993,0.6228,0.0,30281.318359375,0.1388312178224325
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,-1,1e-06,0.01,58l4s4ej,0.27932,0.0,523745.34375,0.6245060966414212,0.2784,0.0,60671.73046875,0.3087744466170669
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,-1,1e-06,0.1,io0q7dxe,0.99972,0.0,1378.376220703125,0.015713439155221,0.9215,0.0,5227.939453125,0.019796563732624
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,-1,1e-06,0.01,aptqsi8o,0.90828,0.0,49668.6484375,0.0765248811602592,0.8886,0.0,8461.3720703125,0.0248807082653045
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,-1,1e-06,1e-05,e1ma7j55,0.91076,0.0,62167.64453125,0.0784230625092982,0.8929,0.0,7898.494140625,0.0420711251616478
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,-1,1e-06,1e-05,kyxvchvn,0.8212,0.0,127290.625,0.1584743330156802,0.8528,0.0,11868.529296875,0.0487166023284197
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,-1,1e-06,0.0001,y5an4z7p,0.8202,0.0,127551.5703125,0.1590790134370326,0.8531,0.0,11417.6796875,0.0421928526088595
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,-1,1e-06,0.001,5m6ggsbc,0.28042,0.0,603204.125,0.6474838028854132,0.2697,0.0,65490.33984375,0.3624108255639671
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,3,1e-06,0.1,hizmbyrl,,,,,0.2822,0.0,38659.6171875,0.1473839742407202
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,3,1e-06,1e-05,sy3mkjyq,,,,,0.9349,0.0,4583.50390625,0.0382431567460298
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,3,1e-06,0.01,5j23rgek,,,,,0.2661,0.0,62327.6953125,0.32102069683671
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,3,1e-06,0.0001,5ml51ts4,,,,,0.8955,0.0,7879.7255859375,0.0367566729411482
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,2,1e-06,0.01,f4219tyb,,,,,0.2683,0.0,62703.68359375,0.3173367743104696
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,3,1e-06,1e-05,arjsv0qk,,,,,0.6298,0.0,29096.619140625,0.1325243757814168
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,3,1e-06,0.1,dt7hgkn6,,,,,0.8192,0.0,12790.42578125,0.0368187299787998
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,2,1e-06,0.0001,3h7jfn34,,,,,0.6327,0.0,28926.6796875,0.1290774599611759
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,2,1e-06,1e-05,uo2tlymn,,,,,0.2644,0.0,67544.671875,0.3701707209855318
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,2,1e-06,0.1,5ahj7fx9,,,,,0.8295,0.0,12298.2421875,0.038793611305952
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,2,1e-06,1.0,0ifcp2az,,,,,0.8523,0.0,5908.97998046875,0.1144457476332783
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,2,1e-06,0.0001,f8e7121h,,,,,0.8502,0.0,11865.5224609375,0.0494759323552251
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,2,1e-06,0.01,z8yzlmn7,,,,,0.8852,0.0,8450.896484375,0.0277224939644337
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,3,1e-06,0.001,eaw5yheb,,,,,0.621,0.0,29539.638671875,0.1311843422546982
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,2,1e-06,0.001,14wtk6t3,,,,,0.8942,0.0,7949.609375,0.0342818661868572
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,2,1e-06,1.0,35h9tjqz,,,,,0.8803,0.0,4916.0546875,0.0278138804748654
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,2,1e-06,0.01,nt4krvbe,,,,,0.84,0.0,12353.1630859375,0.0289376811623573
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,2,1e-06,0.0001,b0voqcjs,,,,,0.8981,0.0,7833.65625,0.0363587709546089
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,3,1e-06,0.001,ov1771po,,,,,0.8463,0.0,11617.0322265625,0.0423009834080934
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,2,1e-06,0.1,kz709xdx,,,,,0.283,0.0,39896.42578125,0.1474037151530385
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,3,1e-06,0.001,34itccxz,,,,,0.9355,0.0,4419.7880859375,0.0334462766051292
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,2,1e-06,0.001,cyqcidjm,,,,,0.9343,0.0,4421.78076171875,0.0319645688951015
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,3,1e-06,1.0,rwgxfkkv,,,,,0.7295,0.0,12378.609375,0.3387544641524553
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,3,1e-06,0.01,wh2v1qf6,,,,,0.8884,0.0,8091.69873046875,0.0234500502571463
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,2,1e-06,0.0001,hnyzxrwj,,,,,0.273,0.0,66828.0078125,0.362451802791655
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,3,1e-06,1e-05,p7xr90q0,,,,,0.8932,0.0,8148.96875,0.0419613031446933
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,3,1e-06,1.0,3eshfe5z,,,,,0.4813,0.0,20022.375,0.3221943654008209
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,2,1e-06,0.001,v9qsi76g,,,,,0.2676,0.0,65655.2890625,0.3576882152348757
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,3,1e-06,0.001,stmbe4u7,,,,,0.8937,0.0,7796.13623046875,0.0343804378986358
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,3,1e-06,0.1,hpx7b5pi,,,,,0.5964,0.0,24651.353515625,0.0369856528580188
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,2,1e-06,0.01,x2on0zia,,,,,0.6222,0.0,28800.51953125,0.0945847769930958
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,2,1e-06,0.001,dt7eogu7,,,,,0.6384,0.0,28984.490234375,0.1143428061321377
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,2,1e-06,0.1,e23n4ihb,,,,,0.8721,0.0,9201.0302734375,0.0163878744989633
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,3,1e-06,0.001,zzgdsb9f,,,,,0.2629,0.0,66458.3046875,0.3614844321310519
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,3,1e-06,0.1,stq5gftn,,,,,0.8781,0.0,8817.3779296875,0.0219603309303522
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,3,1e-06,0.0001,1gc91le0,,,,,0.2695,0.0,67414.90625,0.3664253920957446
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,2,1e-06,1.0,x46fp58j,,,,,0.4598,0.0,20324.021484375,0.3058825514309108
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,3,1e-06,0.01,l6hp7tyi,,,,,0.6203,0.0,29892.82421875,0.0995622189626097
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,2,1e-06,0.1,0hasiu4k,,,,,0.6164,0.0,23552.236328125,0.0417586271971464
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,2,1e-06,0.001,bi3bjpzp,,,,,0.8453,0.0,11673.72265625,0.0457943833425641
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,3,1e-06,0.0001,2kiwr5wy,,,,,0.849,0.0,11878.580078125,0.0471891592085361
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,3,1e-06,0.0001,eo2aelns,,,,,0.9369,0.0,4463.27001953125,0.0336743308573961
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,2,1e-06,1e-05,hybn4epk,,,,,0.6354,0.0,29105.669921875,0.1281486471563577
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,3,1e-06,1e-05,9fptd43p,,,,,0.2715,0.0,66798.5234375,0.3643294624567031
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,3,1e-06,0.0001,jgg7fegy,,,,,0.6333,0.0,29978.224609375,0.1290374236121773
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,2,1e-06,1.0,gnoqc8f8,,,,,0.7307,0.0,12407.453125,0.3425055660612881
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,3,1e-06,0.01,5b7br9nd,,,,,0.8395,0.0,12465.12109375,0.0266258843123913
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,3,1e-06,0.01,uki0gilv,,,,,0.9301,0.0,4750.6337890625,0.0277275512039661
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,2,1e-06,1.0,5t5qw5ma,,,,,0.8356,0.0,7054.29931640625,0.1813571081131696
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,3,1e-06,1e-05,rm36pirs,,,,,0.8462,0.0,11913.486328125,0.048608275270462
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,2,1e-06,1e-05,lj7a3c78,,,,,0.8897,0.0,8265.265625,0.0439993205621838
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,2,1e-06,1e-05,aozsjxch,,,,,0.8463,0.0,12074.412109375,0.0530279112577438
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,3,1e-06,1.0,wiv4qgew,,,,,0.854,0.0,5812.61572265625,0.1142462873503565
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,3,1e-06,1.0,2vqptgof,,,,,0.8358,0.0,7103.86376953125,0.1842004355624318
